,value
count,250.0
mean,5.785371646123724
std,3.7340785275766915
min,1.3310737707787952
25%,3.467518761796754
50%,5.0556522231622525
75%,7.029498163824043
max,29.57730531442034
95% CI Lower,1.6194916355192162
95% CI Upper,13.770908189234211
