metric,value
Portfolio total return (lookback),1.351918351846681
Portfolio annualized return,4.7671684926807645
Portfolio annualized volatility,0.6041836812863839
Portfolio Sharpe ratio,7.824058542289691
Portfolio max drawdown,-0.18908003151072628
SPY total return (lookback),0.06060433210823657
