rank,symbol,name,screen_hits,screens,price,day_change_pct,market_cap,avg_volume_3m,screen_presence_score,history_rows,history_start,history_end,latest_close,return_5d,return_21d,return_63d,ann_volatility,max_drawdown,dollar_volume,screen_hits_norm,day_change_pct_norm,return_5d_norm,return_21d_norm,return_63d_norm,dollar_volume_norm,trend_score
1,MU,"Micron Technology, Inc.",3,"day_gainers, growth_technology_stocks, most_actives",576.45,6.31489,650082254848,41250423,1.0,123,2025-11-05,2026-05-04,576.4500122070312,0.09892102884311416,0.5739679652080936,0.31725031705449847,0.7019666703189237,-0.3027631751559945,23778806841.895203,1.0,0.46045143060871063,0.6283625429422113,0.6601542424888088,0.46025143267295915,0.6916343862664743,0.6681358173713152
2,NBIS,Nebius Group N.V.,1,day_gainers,176.42,14.1951,44792717312,16391435,0.3333333333333333,123,2025-11-05,2026-05-04,176.4199981689453,0.2170253173151142,0.6212093242391026,1.0011341973749208,0.9833474667450474,-0.3686324551574185,2891776932.686386,0.0,0.773660678620501,0.914324596661839,0.7092239209670378,0.9775955768267124,0.08020439082737559,0.5537125706338717
3,CRCL,Circle Internet Group,1,day_gainers,119.53,19.8897,29549060096,16403810,0.3333333333333333,123,2025-11-05,2026-05-04,119.52999877929688,0.252409846203433,0.32428535287301297,1.0307508926235966,1.0603657483050335,-0.5556047059655751,1960747389.2758179,0.0,1.0,1.0,0.4008084962996565,1.0,0.052950186090961096,0.5381042271735754
4,INTC,Intel Corporation,1,most_actives,95.78,-3.845,481390264320,104831373,0.3333333333333333,123,2025-11-05,2026-05-04,95.77999877929688,0.12695612644705134,0.901151185959673,0.9623027265823432,0.7773575701487793,-0.2417157794897098,10040748777.972015,0.0,0.056633320839744074,0.696243008510172,1.0,0.948220364745379,0.28947760208610407,0.49858614442720983
5,STX,Seagate Technology Holdings plc,1,growth_technology_stocks,738.54,1.59713,165602082816,3853361,0.3333333333333333,123,2025-11-05,2026-05-04,738.5399780273438,0.2394522139149835,0.72009503266268,0.7088075710260311,0.7223797452462367,-0.209978296413596,2845861148.2714233,0.0,0.2729378920227969,0.9686261084293545,0.8119366713612807,0.7564564731371175,0.07886028934538145,0.4739194487124537
