Date,MU,NBIS,CRCL,INTC,STX
2025-11-05,237.30441284179688,117.0,113.02999877929688,38.380001068115234,274.5694274902344
2025-11-06,238.13372802734375,109.44000244140625,100.01000213623047,37.2400016784668,277.2576904296875
2025-11-07,237.7240447998047,111.27999877929688,103.13999938964844,38.130001068115234,278.13385009765625
2025-11-10,253.0913848876953,109.94999694824219,104.0999984741211,38.45000076293945,292.7101135253906
2025-11-11,240.9114227294922,102.22000122070312,98.30000305175781,37.880001068115234,286.7462158203125
2025-11-12,244.69830322265625,94.36000061035156,86.30000305175781,37.88999938964844,282.0268249511719
2025-11-13,236.75485229492188,88.62999725341797,82.33999633789062,35.90999984741211,261.41693115234375
2025-11-14,246.62672424316406,83.54000091552734,81.88999938964844,35.52000045776367,257.08587646484375
2025-11-17,241.750732421875,85.9800033569336,76.58999633789062,34.709999084472656,260.2420959472656
2025-11-18,228.3118133544922,90.54000091552734,76.5999984741211,34.33000183105469,252.75482177734375
2025-11-19,225.7339324951172,95.06999969482422,69.72000122070312,35.11000061035156,258.0118408203125
2025-11-20,201.20416259765625,84.63999938964844,66.93000030517578,33.619998931884766,239.45298767089844
2025-11-21,207.19921875,83.26000213623047,71.33000183105469,34.5,236.45608520507812
2025-11-24,223.74557495117188,91.9000015258789,72.73999786376953,35.790000915527344,252.27691650390625
2025-11-25,224.3450927734375,88.87999725341797,70.11000061035156,35.83000183105469,260.7498779296875
2025-11-26,230.0703582763672,94.69000244140625,72.63999938964844,36.810001373291016,271.0946350097656
2025-11-28,236.28524780273438,94.87000274658203,79.93000030517578,40.560001373291016,275.48541259765625
2025-12-01,240.261962890625,100.1500015258789,75.94000244140625,40.0099983215332,268.92413330078125
2025-12-02,239.2927703857422,96.44999694824219,77.44000244140625,43.470001220703125,265.7081604003906
2025-12-03,233.9671630859375,98.91999816894531,86.29000091552734,43.7599983215332,257.5439147949219
2025-12-04,226.4633331298828,102.80000305175781,87.45999908447266,40.5,264.4736022949219
2025-12-05,237.02462768554688,98.04000091552734,85.62000274658203,41.40999984741211,277.5762939453125
2025-12-08,246.71664428710938,100.33000183105469,83.95999908447266,40.29999923706055,284.16748046875
2025-12-09,252.2121124267578,96.41000366210938,88.87999725341797,40.5,281.6285400390625
2025-12-10,263.4927978515625,93.58999633789062,88.41000366210938,40.779998779296875,297.61865234375
2025-12-11,258.24713134765625,94.27999877929688,88.56999969482422,39.5099983215332,306.5097961425781
2025-12-12,240.94140625,87.69000244140625,83.47000122070312,37.810001373291016,286.3877868652344
2025-12-15,237.30441284179688,81.13999938964844,75.45999908447266,37.5099983215332,284.3367004394531
2025-12-16,232.31851196289062,80.94999694824219,83.0,37.310001373291016,286.8756408691406
2025-12-17,225.3342742919922,75.44999694824219,79.19999694824219,36.04999923706055,276.4412536621094
2025-12-18,248.34530639648438,78.08999633789062,80.98999786376953,36.279998779296875,290.7287902832031
2025-12-19,265.70098876953125,89.45999908447266,86.12999725341797,36.81999969482422,295.0697937011719
2025-12-22,276.3622131347656,93.2300033569336,87.0,36.369998931884766,281.6186218261719
2025-12-23,276.0424499511719,90.02999877929688,82.7300033569336,36.349998474121094,281.56884765625
2025-12-24,286.44390869140625,91.12999725341797,82.63999938964844,36.15999984741211,284.7732238769531
2025-12-26,284.55548095703125,87.58999633789062,81.2699966430664,36.20000076293945,285.7215881347656
2025-12-29,294.24639892578125,86.04000091552734,80.51000213623047,36.68000030517578,280.8101501464844
2025-12-30,292.5071105957031,85.16999816894531,79.88999938964844,37.29999923706055,279.5922546386719
2025-12-31,285.2901611328125,83.70500183105469,79.30000305175781,36.900001525878906,274.91046142578125
2026-01-02,315.2875671386719,89.94999694824219,83.47000122070312,39.380001068115234,287.039306640625
2026-01-05,312.0189208984375,92.83000183105469,84.80000305175781,39.369998931884766,289.3252868652344
2026-01-06,343.2857666015625,100.23999786376953,84.8499984741211,40.040000915527344,329.8446350097656
2026-01-07,339.40740966796875,96.20999908447266,80.58999633789062,42.630001068115234,307.7232360839844
2026-01-08,326.8826599121094,97.30000305175781,81.79000091552734,41.11000061035156,283.9746398925781
2026-01-09,344.9450988769531,97.93000030517578,82.9000015258789,45.54999923706055,303.4806213378906
2026-01-12,345.7247619628906,107.33000183105469,82.9000015258789,44.060001373291016,320.9201965332031
2026-01-13,337.9880065917969,105.43000030517578,83.45999908447266,47.290000915527344,317.885498046875
2026-01-14,333.21002197265625,101.9800033569336,84.80000305175781,48.720001220703125,311.7362060546875
2026-01-15,336.4886474609375,103.88500213623047,76.5999984741211,48.31999969482422,319.76220703125
2026-01-16,362.5976867675781,108.7300033569336,78.61000061035156,46.959999084472656,325.66192626953125
2026-01-20,364.84674072265625,99.29000091552734,72.69999694824219,48.560001373291016,325.4223327636719
2026-01-21,388.94659423828125,98.87000274658203,72.63999938964844,54.25,343.62060546875
2026-01-22,397.41302490234375,96.8499984741211,71.3499984741211,54.31999969482422,345.92657470703125
2026-01-23,399.482177734375,94.5,71.33000183105469,45.06999969482422,345.497314453125
2026-01-26,388.9266052246094,91.45999908447266,70.9000015258789,42.4900016784668,357.6661071777344
2026-01-27,410.0677185058594,97.87000274658203,69.95999908447266,43.93000030517578,371.1126403808594
2026-01-28,435.09722900390625,100.43000030517578,72.83999633789062,48.779998779296875,442.15869140625
2026-01-29,435.6070251464844,94.91000366210938,67.55000305175781,48.65999984741211,445.7923583984375
2026-01-30,414.7057800292969,85.19000244140625,63.93000030517578,46.470001220703125,406.9800720214844
2026-02-02,437.61614990234375,88.16000366210938,58.86000061035156,48.810001373291016,432.19610595703125
2026-02-03,419.2638854980469,89.94999694824219,56.15999984741211,49.25,443.6760559082031
2026-02-04,379.2406921386719,82.38999938964844,55.04999923706055,48.599998474121094,417.9010314941406
2026-02-05,382.729248046875,73.87000274658203,50.22999954223633,48.2400016784668,404.7439880371094
2026-02-06,394.5242614746094,86.0999984741211,57.040000915527344,50.59000015258789,428.5724182128906
2026-02-09,383.3389587402344,92.87999725341797,60.099998474121094,50.2400016784668,424.2599182128906
2026-02-10,373.09326171875,91.79000091552734,59.75,47.130001068115234,395.5400390625
2026-02-11,410.1676940917969,88.61000061035156,57.86000061035156,48.290000915527344,406.54083251953125
2026-02-12,413.7961730957031,89.7300033569336,56.630001068115234,46.47999954223633,430.419189453125
2026-02-13,411.4871520996094,98.01000213623047,60.040000915527344,46.790000915527344,425.2481994628906
2026-02-17,399.61212158203125,97.5199966430664,61.619998931884766,46.18000030517578,415.2156982421875
2026-02-18,420.77325439453125,101.80000305175781,63.150001525878906,45.459999084472656,423.40142822265625
2026-02-19,417.17474365234375,107.61000061035156,61.91999816894531,44.619998931884766,408.2578430175781
2026-02-20,427.9902038574219,97.91999816894531,63.02000045776367,44.11000061035156,410.39410400390625
2026-02-23,420.7932434082031,100.61000061035156,61.16999816894531,43.630001068115234,406.6905822753906
2026-02-24,417.83447265625,102.58000183105469,61.369998931884766,46.119998931884766,395.33038330078125
2026-02-25,428.8198547363281,106.12000274658203,83.13999938964844,46.880001068115234,421.11541748046875
2026-02-26,415.385498046875,104.87999725341797,87.20999908447266,45.459999084472656,408.9566345214844
2026-02-27,412.19683837890625,91.19000244140625,83.44000244140625,45.61000061035156,407.1297912597656
2026-03-02,412.4967346191406,91.01000213623047,96.13999938964844,45.5,378.8591003417969
2026-03-03,379.52056884765625,86.80000305175781,99.62999725341797,43.099998474121094,356.99725341796875
